CSA,CBSA,MDIV,STCOU,NAME,LSAD,ESTIMATESBASE2020,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,NPOPCHG2020,NPOPCHG2021,NPOPCHG2022
104,,,,"Albany-Schenectady, NY",Combined Statistical Area,1190705,1190588,1196822,1194635,-117,6234,-2187
104,10580,,,"Albany-Schenectady-Troy, NY",Metropolitan Statistical Area,899251,899748,905369,904617,497,5621,-752
104,10580,,36001,"Albany County, NY",County or equivalent,314838,313987,316301,315811,-851,2314,-490
104,10580,,36083,"Rensselaer County, NY",County or equivalent,161138,160900,160740,159853,-238,-160,-887
104,10580,,36091,"Saratoga County, NY",County or equivalent,235499,235794,237962,238797,295,2168,835
104,10580,,36093,"Schenectady County, NY",County or equivalent,158058,159315,160214,160093,1257,899,-121
104,10580,,36095,"Schoharie County, NY",County or equivalent,29718,29752,30152,30063,34,400,-89
104,11220,,,"Amsterdam, NY",Micropolitan Statistical Area,49526,49485,49611,49623,-41,126,12
104,11220,,36057,"Montgomery County, NY",County or equivalent,49526,49485,49611,49623,-41,126,12
104,24020,,,"Glens Falls, NY",Metropolitan Statistical Area,127039,126820,126748,126440,-219,-72,-308
104,24020,,36113,"Warren County, NY",County or equivalent,65737,65618,65773,65599,-119,155,-174
104,24020,,36115,"Washington County, NY",County or equivalent,61302,61202,60975,60841,-100,-227,-134
104,24100,,,"Gloversville, NY",Micropolitan Statistical Area,53322,53132,53055,52669,-190,-77,-386
104,24100,,36035,"Fulton County, NY",County or equivalent,53322,53132,53055,52669,-190,-77,-386
104,26460,,,"Hudson, NY",Micropolitan Statistical Area,61567,61403,62039,61286,-164,636,-753
104,26460,,36021,"Columbia County, NY",County or equivalent,61567,61403,62039,61286,-164,636,-753
106,,,,"Albuquerque-Santa Fe-Las Vegas, NM",Combined Statistical Area,1162505,1163548,1165333,1165564,1043,1785,231
106,10740,,,"Albuquerque, NM",Metropolitan Statistical Area,916517,917502,918970,919543,985,1468,573
106,10740,,35001,"Bernalillo County, NM",County or equivalent,676438,676803,674980,672508,365,-1823,-2472
106,10740,,35043,"Sandoval County, NM",County or equivalent,148829,149276,151439,153501,447,2163,2062
106,10740,,35057,"Torrance County, NM",County or equivalent,15045,15054,15318,15454,9,264,136
106,10740,,35061,"Valencia County, NM",County or equivalent,76205,76369,77233,78080,164,864,847
106,21580,,,"Española, NM",Micropolitan Statistical Area,40359,40269,40249,40048,-90,-20,-201
106,21580,,35039,"Rio Arriba County, NM",County or equivalent,40359,40269,40249,40048,-90,-20,-201
106,29780,,,"Las Vegas, NM",Micropolitan Statistical Area,31388,31321,31370,31122,-67,49,-248
106,29780,,35033,"Mora County, NM",County or equivalent,4185,4192,4203,4169,7,11,-34
106,29780,,35047,"San Miguel County, NM",County or equivalent,27203,27129,27167,26953,-74,38,-214
106,31060,,,"Los Alamos, NM",Micropolitan Statistical Area,19418,19415,19340,19187,-3,-75,-153
106,31060,,35028,"Los Alamos County, NM",County or equivalent,19418,19415,19340,19187,-3,-75,-153
106,42140,,,"Santa Fe, NM",Metropolitan Statistical Area,154823,155041,155404,155664,218,363,260
106,42140,,35049,"Santa Fe County, NM",County or equivalent,154823,155041,155404,155664,218,363,260
107,,,,"Altoona-Huntingdon, PA",Combined Statistical Area,166914,166698,166118,164313,-216,-580,-1805
107,11020,,,"Altoona, PA",Metropolitan Statistical Area,122820,122651,122181,121032,-169,-470,-1149
107,11020,,42013,"Blair County, PA",County or equivalent,122820,122651,122181,121032,-169,-470,-1149
107,26500,,,"Huntingdon, PA",Micropolitan Statistical Area,44094,44047,43937,43281,-47,-110,-656
107,26500,,42061,"Huntingdon County, PA",County or equivalent,44094,44047,43937,43281,-47,-110,-656
108,,,,"Amarillo-Pampa-Borger, TX",Combined Statistical Area,311363,311606,312147,313204,243,541,1057
108,11100,,,"Amarillo, TX",Metropolitan Statistical Area,268692,269018,269853,271171,326,835,1318
108,11100,,48011,"Armstrong County, TX",County or equivalent,1846,1849,1838,1850,3,-11,12
108,11100,,48065,"Carson County, TX",County or equivalent,5799,5791,5708,5784,-8,-83,76
108,11100,,48359,"Oldham County, TX",County or equivalent,1759,1764,1730,1752,5,-34,22
108,11100,,48375,"Potter County, TX",County or equivalent,118527,118272,116538,115645,-255,-1734,-893
108,11100,,48381,"Randall County, TX",County or equivalent,140761,141342,144039,146140,581,2697,2101
108,14420,,,"Borger, TX",Micropolitan Statistical Area,20614,20568,20411,20215,-46,-157,-196
108,14420,,48233,"Hutchinson County, TX",County or equivalent,20614,20568,20411,20215,-46,-157,-196
108,37420,,,"Pampa, TX",Micropolitan Statistical Area,22057,22020,21883,21818,-37,-137,-65
108,37420,,48179,"Gray County, TX",County or equivalent,21229,21198,21085,21015,-31,-113,-70
108,37420,,48393,"Roberts County, TX",County or equivalent,828,822,798,803,-6,-24,5
118,,,,"Appleton-Oshkosh-Neenah, WI",Combined Statistical Area,414877,415223,414450,415563,346,-773,1113
118,11540,,,"Appleton, WI",Metropolitan Statistical Area,243143,243423,243896,244845,280,473,949
118,11540,,55015,"Calumet County, WI",County or equivalent,52433,52462,52587,52718,29,125,131
118,11540,,55087,"Outagamie County, WI",County or equivalent,190710,190961,191309,192127,251,348,818
118,36780,,,"Oshkosh-Neenah, WI",Metropolitan Statistical Area,171734,171800,170554,170718,66,-1246,164
118,36780,,55139,"Winnebago County, WI",County or equivalent,171734,171800,170554,170718,66,-1246,164
120,,,,"Asheville-Marion-Brevard, NC",Combined Statistical Area,546577,547312,550697,554180,735,3385,3483
120,11700,,,"Asheville, NC",Metropolitan Statistical Area,469014,469686,472856,476072,672,3170,3216
120,11700,,37021,"Buncombe County, NC",County or equivalent,269446,269694,271719,273589,248,2025,1870
120,11700,,37087,"Haywood County, NC",County or equivalent,62097,62223,62504,62609,126,281,105
120,11700,,37089,"Henderson County, NC",County or equivalent,116279,116541,116988,118106,262,447,1118
120,11700,,37115,"Madison County, NC",County or equivalent,21192,21228,21645,21768,36,417,123
120,14820,,,"Brevard, NC",Micropolitan Statistical Area,32986,33046,33255,33355,60,209,100
120,14820,,37175,"Transylvania County, NC",County or equivalent,32986,33046,33255,33355,60,209,100
120,32000,,,"Marion, NC",Micropolitan Statistical Area,44577,44580,44586,44753,3,6,167
120,32000,,37111,"McDowell County, NC",County or equivalent,44577,44580,44586,44753,3,6,167
122,,,,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL",Combined Statistical Area,6930402,6945576,6996017,7088898,15174,50441,92881
122,12020,,,"Athens-Clarke County, GA",Metropolitan Statistical Area,215417,215699,218235,220405,282,2536,2170
122,12020,,13059,"Clarke County, GA",County or equivalent,128671,128550,129185,129875,-121,635,690
122,12020,,13195,"Madison County, GA",County or equivalent,30123,30269,30883,31473,146,614,590
122,12020,,13219,"Oconee County, GA",County or equivalent,41799,42013,43025,43588,214,1012,563
122,12020,,13221,"Oglethorpe County, GA",County or equivalent,14824,14867,15142,15469,43,275,327
122,12060,,,"Atlanta-Sandy Springs-Alpharetta, GA",Metropolitan Statistical Area,6089755,6103261,6143138,6222106,13506,39877,78968
122,12060,,13013,"Barrow County, GA",County or equivalent,83507,83975,86672,89299,468,2697,2627
122,12060,,13015,"Bartow County, GA",County or equivalent,108888,109296,110901,112816,408,1605,1915
122,12060,,13035,"Butts County, GA",County or equivalent,25440,25551,26114,26649,111,563,535
122,12060,,13045,"Carroll County, GA",County or equivalent,119141,119484,121592,124592,343,2108,3000
122,12060,,13057,"Cherokee County, GA",County or equivalent,266625,268175,274839,281278,1550,6664,6439
122,12060,,13063,"Clayton County, GA",County or equivalent,297608,297623,297318,296564,15,-305,-754
122,12060,,13067,"Cobb County, GA",County or equivalent,766160,766374,766691,771952,214,317,5261
122,12060,,13077,"Coweta County, GA",County or equivalent,146154,146725,149925,152882,571,3200,2957
122,12060,,13085,"Dawson County, GA",County or equivalent,26796,27056,28475,30138,260,1419,1663
122,12060,,13089,"DeKalb County, GA",County or equivalent,764386,764420,759231,762820,34,-5189,3589
122,12060,,13097,"Douglas County, GA",County or equivalent,144227,144552,145628,147316,325,1076,1688
122,12060,,13113,"Fayette County, GA",County or equivalent,119186,119483,120681,122030,297,1198,1349
122,12060,,13117,"Forsyth County, GA",County or equivalent,251283,252878,260721,267237,1595,7843,6516
122,12060,,13121,"Fulton County, GA",County or equivalent,1066702,1069370,1062531,1074634,2668,-6839,12103
122,12060,,13135,"Gwinnett County, GA",County or equivalent,957027,958005,965145,975353,978,7140,10208
122,12060,,13143,"Haralson County, GA",County or equivalent,29920,30037,30579,31337,117,542,758
122,12060,,13149,"Heard County, GA",County or equivalent,11414,11448,11529,11725,34,81,196
122,12060,,13151,"Henry County, GA",County or equivalent,240719,241848,245023,248364,1129,3175,3341
122,12060,,13159,"Jasper County, GA",County or equivalent,14595,14666,15259,15951,71,593,692
122,12060,,13171,"Lamar County, GA",County or equivalent,18500,18551,18684,19467,51,133,783
122,12060,,13199,"Meriwether County, GA",County or equivalent,20610,20606,20715,20845,-4,109,130
122,12060,,13211,"Morgan County, GA",County or equivalent,20096,20198,20654,21031,102,456,377
122,12060,,13217,"Newton County, GA",County or equivalent,112491,112843,115318,117621,352,2475,2303
122,12060,,13223,"Paulding County, GA",County or equivalent,168660,169570,173921,178421,910,4351,4500
